RGID,longitude,latitude
1,445667.3452,3369434.664
1,401665.0128,3368026.277
1,433857.1046,3368747.286
1,307870.6123,3400898.924
1,264633.8469,3441171.615
1,253226.7382,3453383.069
1,339852.4624,3409211.089
1,389114.6307,3370171.546
1,344887.3814,3433045.771
1,408072.3266,3411812.394
1,338365.2209,3385367.075
1,397185.1643,3354721.262
1,393431.9712,3362308.127
1,324411.783,3450831.504
1,324157.6236,3449385.465
1,394134.5367,3361613.536
1,393666.1457,3362190.9
1,393216.4887,3362948.875
1,426734.1753,3357767.298
1,426201.3921,3358305.176
1,430268.5903,3355369.067
1,408079.1397,3336249.937
0,374745.7568,3347073.747
0,376109.7501,3346964.889
1,391878.666,3339522.28
1,391099.2964,3340171.933
1,390660.6363,3340993.803
1,393052.9753,3340891.295
1,391159.7056,3338535.552
1,390630.7477,3339444.654
1,393010.2548,3346698.019
1,421951.6488,3367218.376
1,424938.2294,3367804.872
1,422231.2594,3367480.802
1,425976.9845,3362871.891
1,427303.5769,3363524.456
1,426397.0292,3359237.102
1,426611.3904,3358930.778
1,427218.8611,3358870.847
1,427749.5693,3358466.354
1,429414.3491,3359410.517
1,429453.5088,3358735.127
1,373390.4647,3359366.164
1,364251.8886,3367329.293
1,365189.8785,3366724.348
0,365262.8298,3367455.488
0,371405.5643,3367620.225
1,380237.0033,3366520.117
1,380860.5034,3365941.431
1,381410.713,3366052.904
1,381533.2484,3364868.451
1,380553.9213,3360152.913
1,384622.0701,3365879.005
1,385867.2158,3366629.87
1,391841.4256,3383578.635
1,391325.4135,3382809.712
1,393566.0673,3388289.01
1,393960.3121,3388413.698
1,394043.0739,3388622.26
1,395619.5255,3389990.368
1,397503.0258,3388158.195
1,397995.5503,3387905.8
1,396573.4402,3387263.409
1,394938.7279,3389122.354
1,398713.0595,3392584.042
1,399453.599,3392190.495
1,399318.763,3392301.485
1,400268.0983,3392234.236
1,395103.3641,3391215.169
1,398487.2082,3383451.93
1,392399.4688,3381440.959
1,393233.052,3379940.25
1,393232.0662,3381277.748
1,414696.1766,3359160.205
0,414682.197,3358442.818
1,405001.9807,3356579.952
1,416222.3282,3360304.509
1,405075.0767,3355744.542
1,380525.497,3390690.783
1,369452.4394,3391644.815
1,372070.1905,3386484.856
1,378676.607,3406520.954
1,379759.3898,3406888.065
1,380266.6686,3406629.537
1,380748.7487,3413959.881
1,381619.3812,3412990.802
1,382025.6867,3413104.583
1,343954.4215,3387351.078
1,343536.4034,3387382.634
1,339687.0414,3390000.62
1,339640.0952,3389783.688
1,339146.7111,3385668.595
1,339866.824,3385553.449
1,328652.1923,3421090.994
0,269657.3628,3427749.722
1,269045.4005,3427389.186
1,268213.6855,3426672.189
1,260741.4503,3438339.603
1,260818.3054,3437107.404
1,263610.5113,3438946.534
1,270165.2655,3443863.308
1,258713.5644,3449095.195
1,251962.0895,3454401.382
1,243976.8753,3462503.429
0,241725.7679,3456366.54
0,241483.3892,3457470.045
1,247021.9742,3458541.317
1,247445.0048,3458840.252
0,246124.4515,3434365.195
0,247039.495,3434286.087
0,245397.9702,3433812.455
1,252287.3229,3438581.427
1,252566.6369,3439167.873
1,252815.613,3439572.758
1,252992.7912,3439696.648
1,254224.9338,3441087.658
0,252221.6386,3439227.527
1,251439.3008,3438744.741
1,250073.7735,3440677.545
1,252209.5127,3437210.583
1,252604.1145,3437394.731
0,254003.5661,3436991.393
1,334270.6858,3433379.274
1,299100.8308,3420757.19
1,291278.6756,3429243.361
1,278513.0553,3444307.028
1,273849.1261,3439895.709
1,313666.522,3440816.97
1,311187.7206,3441670.876
1,317688.5764,3441923.654
1,317392.5536,3441944.507
1,321135.3493,3440629.087
1,342357.5636,3401687.36
1,341743.7034,3401739.414
1,340685.0453,3401729.139
1,340930.896,3401136.01
1,339575.4365,3401046.761
1,339262.1597,3400790.908
1,341138.5996,3397087.29
1,319426.8257,3424030.979
1,329937.749,3458144.453
1,357727.4262,3411145.746
1,292290.2648,3411650.998
1,290977.7925,3411424.049
1,290011.0496,3420966.912
1,290002.6997,3421358.462
0,286595.8091,3424519.605
1,270081.0101,3441928.273
0,424496.7549,3359678.779
1,419496.3545,3378735.949
1,237006.9398,3458728.409
1,237910.8441,3458600.212
1,338169.278,3444752.753
1,419649.6674,3374756.609
1,438630.5736,3356262.339
1,436595.3485,3356207.602
0,424199.9506,3359188.779
0,408849.4988,3338275.401
0,407936.0671,3338265.293
0,407107.4371,3337261.757
0,406206.7125,3336393.661
0,435022.9467,3338514.78
0,368542.559,3355272.871
0,368846.7239,3355113.251
0,252515.8749,3439631.569
0,243178.1622,3435764.612
0,246369.3454,3433637.306
0,323378.338,3397038.426
0,290485.6065,3408104.151
0,240932.093,3456994.629
0,270283.0581,3428093.133
0,288556.0336,3410727.27
0,382145.0929,3388136.596
0,248036.4047,3437815.559
0,244645.5789,3434485.344
0,244046.7015,3435576.522
0,244710.2714,3435080.902
0,247697.1429,3435621.611
0,242261.6112,3456063.374
0,248372.2576,3437099.645
0,255901.1966,3446682.62
0,254643.5818,3446995.324
0,239385.9226,3453936.706
0,242299.0549,3435395.069
0,340841.3371,3384998.122
0,341914.4725,3385557.182
0,337838.2341,3384349.577
0,307807.5185,3458340.456
0,434690.4271,3337874.891
0,450508.2048,3319346.842
0,451091.3733,3319117.634
0,406802.9579,3336630.077
0,245761.5762,3433996.005
0,323060.3748,3396501.021
0,322856.5896,3394688.202
0,374609.5684,3379214.085
0,432595.0158,3336532.351
0,284501.6443,3427735.726
0,372878.7393,3380623.759
0,374755.2194,3378443.68
0,377571.6492,3354070.365
0,334738.5115,3383232.023
0,450241.0538,3319113.23
0,378175.5276,3353419.069
0,372326.4071,3380605.107
0,448945.7198,3367389.401
0,383178.2396,3372184.312
0,383535.1255,3372652.101
0,284374.9148,3421998.351
0,407835.9382,3337888.88
0,407558.1986,3338092.587
0,406526.3831,3337266.467
0,448961.5295,3318920.821
0,448652.3902,3318066.999
0,450203.1911,3328648.227
0,301293.4068,3425494.198
0,301357.7823,3425184.479
0,301171.813,3424864.353
0,349667.5155,3407448.753
0,259946.5635,3441493.349
0,371310.3744,3389197.393
0,321824.2116,3398771.167
0,319290.9904,3399380.865
0,322991.4678,3395283.943
0,369070.6255,3355220.187
0,369962.0796,3355400.288
0,369477.23,3355206.669
0,367919.3292,3355082.097
0,375769.6156,3383382.029
0,444775.4404,3328864.155
0,417542.9196,3334757.493
0,372861.802,3356203.082
0,270539.0567,3428009.848
0,270806.6526,3427737.197
0,369369.3823,3367750.497
0,266340.9041,3426183.164
0,409389.6017,3336395.866
0,250556.1964,3442240.659
0,395237.3521,3346633.355
0,445369.5963,3313849.231
0,269159.8326,3426539.469
0,245887.8086,3451243.462
0,332338.288,3382836.294
0,331553.8847,3381439.674
0,331499.3365,3383085.39
0,330987.4694,3392334.053
0,391511.5803,3384480.965
0,284484.093,3424241.071
0,266572.1232,3426363.666
0,394435.3491,3342644.116
0,394909.5108,3346603.249
0,380681.0612,3388276.848
0,449979.0822,3363117.698
0,451577.899,3362586.067
0,451907.2705,3362336.814
0,318469.1061,3397510.306
0,335830.692,3384510.41
0,268679.3589,3425507.115
0,287427.2941,3402435.105
0,439538.1702,3339220.592
0,374312.8974,3347483.171
0,372070.3713,3381911.37
0,286183.0679,3405198.973
0,342761.8225,3385648.57
